time,frequency,fd
2024-04-08 15:01:00,5,0.050012691246579984
2024-04-08 15:01:01,5,0.05003659102427775
2024-04-08 15:01:02,5,0.05005843859043564
2024-04-08 15:01:03,5,0.05007826321362298
2024-04-08 15:01:04,5,0.05009609416240908
2024-04-08 15:01:05,5,0.05011196070536331
2024-04-08 15:01:06,5,0.050125892111054976
2024-04-08 15:01:07,5,0.05013791764805342
2024-04-08 15:01:08,5,0.05014806658492799
2024-04-08 15:01:09,5,0.05015636819024799
2024-04-08 15:01:10,5,0.05016285173258277
2024-04-08 15:01:11,5,0.05016754648050166
2024-04-08 15:01:12,5,0.050170481702574016
2024-04-08 15:01:13,5,0.05017168666736913
2024-04-08 15:01:14,5,0.05017119064345636
2024-04-08 15:01:15,5,0.05016902289940506
2024-04-08 15:01:16,5,0.05016521270378452
2024-04-08 15:01:17,5,0.050159789325164086
2024-04-08 15:01:18,5,0.05015278203211308
2024-04-08 15:01:19,5,0.05014422009320089
2024-04-08 15:01:20,5,0.05013413277699679
2024-04-08 15:01:21,5,0.05012254935207014
2024-04-08 15:01:22,5,0.050109499086990264
2024-04-08 15:01:23,5,0.050095011250326484
2024-04-08 15:01:24,5,0.05007911511064818
2024-04-08 15:01:25,5,0.05006183993652463
2024-04-08 15:01:26,5,0.050043214996525205
2024-04-08 15:01:27,5,0.050023269559219215
2024-04-08 15:01:28,5,0.050002032893176014
2024-04-08 15:01:29,5,0.04997953426696491
2024-04-08 15:01:30,5,0.049955802949155255
2024-04-08 15:01:31,5,0.049930868208316374
2024-04-08 15:01:32,5,0.049904759313017605
2024-04-08 15:01:33,5,0.049877505531828265
2024-04-08 15:01:34,5,0.04984913613331771
2024-04-08 15:01:35,5,0.04981968038605528
2024-04-08 15:01:36,5,0.049789167558610285
2024-04-08 15:01:37,5,0.04975762691955206
2024-04-08 15:01:38,5,0.04972508773744993
2024-04-08 15:01:39,5,0.049691579280873276
2024-04-08 15:01:40,5,0.049657130818391376
2024-04-08 15:01:41,5,0.04962177161857359
2024-04-08 15:01:42,5,0.049585530949989236
2024-04-08 15:01:43,5,0.04954843808120767
2024-04-08 15:01:44,5,0.04951052228079821
2024-04-08 15:01:45,5,0.04947181281733019
2024-04-08 15:01:46,5,0.04943233895937297
2024-04-08 15:01:47,5,0.049392129975495816
2024-04-08 15:01:48,5,0.04935121513426812
2024-04-08 15:01:49,5,0.04930962370425921
2024-04-08 15:01:50,5,0.049267384954038394
2024-04-08 15:01:51,5,0.04922452815217502
2024-04-08 15:01:52,5,0.049181082567238424
2024-04-08 15:01:53,5,0.049137077467797954
2024-04-08 15:01:54,5,0.04909254212242291
2024-04-08 15:01:55,5,0.049047505799682624
2024-04-08 15:01:56,5,0.049001997768146455
2024-04-08 15:01:57,5,0.04895604729638374
2024-04-08 15:01:58,5,0.04890968365296379
2024-04-08 15:01:59,5,0.04886293610645593
2024-04-08 15:02:00,5,0.04881583392542953
2024-04-08 15:02:01,5,0.0487684063784539
2024-04-08 15:02:02,5,0.04872068273409838
2024-04-08 15:02:03,5,0.04867269226093229
2024-04-08 15:02:04,5,0.048624464227524984
2024-04-08 15:02:05,5,0.04857602790244578
2024-04-08 15:02:06,5,0.04852741255426401
2024-04-08 15:02:07,5,0.04847864745154902
2024-04-08 15:02:08,5,0.04842976186287013
2024-04-08 15:02:09,5,0.048380785056796695
2024-04-08 15:02:10,5,0.04833174630189801
